Item Number,Quantity,Value,Voltage,Tolerance,Description,Part Number,Part Reference
1,2,5.0PF,50V,,CAP 5.0PF 50V CERAMIC 0402 SMD,PCC050CQTR-ND,C1 C2
2,2,12PF,50V,,CAP 12PF 50V CERAMIC 0402 SMD,PCC120CQTR-ND,CB1 CB4
3,6,4.7UF,6.3V,,CAP CER 4.7UF 6.3V X5R 0402,GRM155R60J475ME87D,CB2 CB18 CB70 CB164 CT2 CT3
4,139,0.1UF,25V,,CAP 0.1µF ±10% 25V Ceramic Capacitor X7R 0402 ,C1005X7R1E104K050BB ,CB3 CB5-CB15 CB17 CB19 CB20 CB22 CB23 CB28 CB30 CB31 CB33 CB34 CB39 CB40 CB45 CB48 CB52 CB54 CB55 CB57 CB61 CB62 CB71 CB75 CB77 CB89 CB90 CB93-CB95 CB100 CB102 CB104 CB106 CB158 CB161-CB163 CB165-CB169 CB395 CB664 CB678 CB681 CB689 CB690 CB693 CB702 CB710 CB711 CB719 CB727 CB731 CB735 CB737 CB744 CB757 CB769 CB770 CB773-CB775 CB777-CB780 CB782-CB784 CB791 CB797-CB799 CB802 CB803 CB812 CB813 CB820 CB821 CB824 CB827 CB829 CB831 CB832 CT1 CT20 CT22 CT27 CT33 CT42-CT45 CT56-CT61 CT68-CT70 CT72 CT74 CT76 CT78 CT90 CT94 CT102 CT104 CT112 CT113 CT116 CT123 CT130 CT135 CT138-CT140 CT143 CT144 CT157 CT160 CT161 CT169 CT170
5,5,10UF,25V,,CAP 10µF ±10% 25V Ceramic Capacitor X5R 0603 ,C1608X5R1E106M080AC,CB16 CB816 CB819 CB825 CT18
6,15,10UF,10V,,CAP CER 10UF 10V X5R 0402,CL05A106MP5NUNC,CB21 CB27 CB53 CB730 CB758 CB765 CB768 CB818 CB822 CT91 CT93 CT125 CT136 CT137 CT141
7,186,0.1UF,25V,10%,CAP CER 0.1UF 25V X5R 0201,GRM033R61E104KE14J,CB24 CB25 CB35-CB38 CB41 CB42 CB46 CB47 CB49 CB51 CB56 CB58-CB60 CB63-CB66 CB68 CB69 CB72 CB74 CB76 CB78-CB82 CB85-CB88 CB91 CB92 CB126 CB131 CB159 CB160 CB366 CB368 CB396 CB410 CB436 CB437 CB449 CB450 CB465 CB478 CB508 CB523-CB525 CB536 CB549 CB575-CB577 CB590 CB601 CB602 CB613 CB614 CB624 CB632 CB633 CB635-CB650 CB656 CB657 CB659 CB665 CB666 CB668 CB670 CB673-CB676 CB679 CB682 CB684-CB687 CB691 CB692 CB695 CB696 CB698 CB699 CB701 CB703 CB705 CB706 CB708 CB709 CB713 CB715-CB717 CB720-CB722 CB724 CB725 CB728 CB729 CB732 CB734 CB736 CB740 CB743 CB763 CB764 CB766 CB767 CT6 CT7 CT9 CT11-CT17 CT21 CT23 CT24 CT34-CT41 CT80-CT87 CT96-CT101 CT103 CT105 CT106 CT109 CT110 CT117 CT118 CT120-CT122 CT124 CT126 CT132-CT134 CT145 CT146 CT151 CT152
8,25,1UF,25V,,CAP CER 1UF 25V X5R 0402,GRT155R61E105ME01D,CB26 CB29 CB32 CB101 CB103 CB105 CB107 CB809 CB810 CB823 CB833 CT19 CT25 CT50-CT52 CT54 CT62-CT65 CT71 CT73 CT75 CT77
9,4,10UF,50V,20%,CAP CER 10UF 50V X5R 1206,GRT31CR61H106ME01L,CB43 CB44 CB67 CB73
10,13,10UF,10V,10%,CAP CER 10UF 10V X5R 0603,GRM188R61A106KE69D,CB50 CB96-CB99 CB771 CB776 CT32 CT46-CT48 CT53 CT55
11,14,22UF,25V,20%,CAP CER 22UF 25V X5R 0805,GRT21BR61E226ME13L,CB83 CB84 CB677 CB718 CB814 CB815 CT67 CT89 CT108 CT142 CT153 CT154 CT167 CT168
